# source:CJK 汉字拼音表——42856字 wangyanhan整理制作
# format = 1
㛐 sǒu(sou3)
㛑 càn(can4)
㛒 dòu(dou4)
㛓 xī(xi1)
㛔 fēnɡ pénɡ(feng1 peng2)
㛕 è yì(e4 yi4)
㛖 suō(suo1)
㛗 qiē suō zuō(qie1 suo1 zuo1)
㛘 pò(po4)
㛙 qiè xīn(qie4 xin1)
㛚 tǒng yǒng(tong3 yong3)
㛛 xìn(xin4)
㛜 yóu(you2)
㛝 bèi(bei4)
㛞 lònɡ(long4)
㛣 yún(yun2)
㛤 lí(li2)
㛥 tà(ta4)
㛦 lǎn(lan3)
㛧 mǎn(man3)
㛨 qiǎnɡ(qiang3)
㛩 zhóu(zhou2)
㛪 yān yàn(yan1 yan4)
㛫 xī(xi1)
㛬 lù(lu4)
㛭 xī(xi1)
㛮 sǎo(sao3)
㛯 fàn miǎn zhuàn(fan4 mian3 zhuan4)
㛱 wēi wěi(wei1 wei3)
㛲 fà(fa4)
㛳 yì(yi4)
㛴 nǎo(nao3)
㛵 chēnɡ(cheng1)
㛶 tàn(tan4)
㛷 jī(ji1)
㛸 shù(shu4)
㛹 pián(pian2)
㛺 ān(an1)
㛻 kuā(kua1)
㛼 chā shà(cha1 sha4)
㛾 xián(xian2)
㛿 zhì(zhi4)
㜂 fēnɡ(feng1)
㜃 liàn(lian4)
㜄 xún(xun2)
㜅 xù(xu4)
㜆 mì(mi4)
㜇 huì yè(hui4 ye4)
㜈 mù(mu4)
㜉 yōng(yong1)
㜊 zhǎn(zhan3)
㜋 yì(yi4)
㜌 ɡòu kòu(gou4 kou4)
㜍 tánɡ(tang2)
㜎 xī xì(xi1 xi4)
㜏 yún(yun2)
㜐 shù(shu4)
㜑 fú(fu2)
㜒 yì(yi4)
㜓 dá(da2)
㜕 lián(lian2)
㜖 cáo(cao2)
㜗 cān sēn(can1 sen1)
㜘 chá jù qù(cha2 ju4 qu4)
㜙 lù(lu4)
㜚 sù(su4)
㜛 nèn(nen4)
㜜 ào(ao4)
㜝 ǎn yǎn(an3 yan3)
㜞 cán qiàn(can2 qian4)
㜠 cuī(cui1)
㜡 cōnɡ(cong1)
㜣 rán rǎn(ran2 ran3)
㜤 niǎn tán tiǎn(nian3 tan2 tian3)
㜥 mái(mai2)
㜦 xín(xin2)
㜧 yuè(yue4)
㜨 nái(nai2)
㜩 ào(ao4)
㜪 shēn(shen1)
㜫 mà(ma4)
㜮 lán làn(lan2 lan4)
㜯 xī(xi1)
㜰 yuè(yue4)
㜱 zhì(zhi4)
㜲 wěnɡ(weng3)
㜳 huái(huai2)
㜴 mènɡ(meng4)
㜵 niǎo(niao3)
㜶 wǎn(wan3)
㜷 mí xiǎn(mi2 xian3)
㜸 niè(nie4)
㜹 qú(qu2)
㜺 zàn(zan4)
㜻 liàn(lian4)
㜼 zhí(zhi2)
㜽 zǐ(zi3)
㜾 hái(hai2)
㜿 xù(xu4)
㝀 hào(hao4)
㝁 qióng xuān(qiong2 xuan1)
㝂 zhè zhì(zhe4 zhi4)
㝃 miǎn(mian3)
㝄 chún(chun2)
㝅 ɡòu(gou4)
㝇 chún(chun2)
㝈 luán(luan2)
㝉 zhù(zhu4)
㝊 shǒu(shou3)
㝋 liǎo(liao3)
㝌 jiù(jiu4)
㝍 xiě(xie3)
㝎 dìnɡ(ding4)
㝏 jiè(jie4)
㝐 róng(rong2)
㝑 mánɡ(mang2)
㝓 kè(ke4)
㝔 yǎo(yao3)
㝕 nínɡ(ning2)
㝖 yí(yi2)
㝗 lánɡ lǎnɡ(lang2 lang3)
㝘 yóng(yong2)
㝙 yín(yin2)
㝚 yán(yan2)
㝛 sù(su4)
㝝 lín(lin2)
㝞 yā yà(ya1 ya4)
㝟 máo(mao2)
㝠 mínɡ(ming2)
㝡 zuì(zui4)
㝢 yǔ(yu3)
㝣 yì(yi4)
㝤 ɡòu(gou4)
㝥 mǐ(mi3)
㝦 jùn(jun4)
㝧 wěn(wen3)
㝩 kānɡ(kang1)
㝪 diàn(dian4)
㝫 lónɡ(long2)
㝭 xǐng(xing3)
㝮 cuì(cui4)
㝯 qiáo(qiao2)
㝰 mián(mian2)
㝱 mènɡ(meng4)
㝲 qǐn(qin3)
㝴 wán(wan2)
㝵 ài dé(ai4 de2)
㝶 ài(ai4)
㝸 biàn(bian4)
㝺 lián(lian2)
㝻 jǐn(jin3)
㝼 yū(yu1)
㝽 chuí(chui2)
㝾 zuǒ(zuo3)
㝿 bǒ(bo3)
㞀 huī(hui1)
㞁 yào(yao4)
㞂 tuǐ tuì(tui3 tui4)
㞃 jì(ji4)
㞄 ān(an1)
㞅 luò(luo4)
㞆 jǐ(ji3)
㞇 wěi(wei3)
㞈 bō(bo1)
㞉 zā(za1)
㞊 xù(xu4)
㞋 jí niǎn(ji2 nian3)
㞌 yùn(yun4)
㞎 bǎ pā(ba3 pa1)
㞏 jié zhé(jie2 zhe2)
㞐 jū(ju1)
㞑 wěi(wei3)
㞒 xì xiè(xi4 xie4)
㞓 jī qì(ji1 qi4)
㞔 yí(yi2)
㞕 xiè(xie4)
㞖 cí cì(ci2 ci4)
㞗 qiú(qiu2)
㞘 dū(du1)
㞙 niào(niao4)
㞚 qì zhǎ(qi4 zha3)
㞛 jǐ(ji3)
㞜 tuī(tui1)
㞞 sóng(song2)
㞟 diàn dǐnɡ(dian4 ding3)
㞠 láo(lao2)
㞡 zhǎn(zhan3)
㞤 cén yín(cen2 yin2)
㞥 cén(cen2)
㞦 jǐ(ji3)
㞧 huì(hui4)
㞨 zǐ(zi3)
㞩 lán(lan2)
